created_date;compressor_starts
2023-08-13 10:30:59+00:00;156265
2023-11-03 11:52:59+00:00;156979
2023-11-19 13:02:59+00:00;157122
2023-11-24 09:28:59+00:00;157161
2023-11-30 13:21:59+00:00;157215
2023-12-01 10:18:59+00:00;157223
2023-12-03 13:24:59+00:00;157244
2023-12-10 12:47:59+00:00;157307
2023-12-15 16:33:59+00:00;157352
2023-12-21 12:08:59+00:00;157402
2023-12-23 08:52:59+00:00;157419
2023-12-24 08:52:59+00:00;157427
2023-12-28 16:15:59+00:00;157458
2023-12-31 09:13:59+00:00;157480
2024-01-01 11:00:59+00:00;157490
2024-01-02 09:50:59+00:00;157498
2024-01-03 09:22:59+00:00;157505
2024-01-05 08:38:59+00:00;157519
2024-01-06 11:13:59+00:00;157527
2024-01-07 14:01:59+00:00;157537
2024-01-09 12:32:59+00:00;157554
2024-01-12 16:13:59+00:00;157585
2024-01-12 16:15:59+00:00;157585
2024-01-17 07:47:59+00:00;157621
2024-01-20 13:47:59+00:00;157648
2024-01-21 10:13:59+00:00;157657
2024-01-27 08:23:59+00:00;157702
2024-01-27 11:05:59+00:00;157703
2024-01-27 16:17:59+00:00;157706
2024-01-28 08:24:59+00:00;157714
2024-01-28 16:16:59+00:00;157717
2024-01-29 15:31:59+00:00;157730
2024-01-30 08:38:59+00:00;157743
2024-01-31 07:18:59+00:00;157761
2024-01-31 16:18:59+00:00;157771
2024-02-01 08:03:59+00:00;157777
2024-02-01 16:45:59+00:00;157781
2024-02-02 08:30:59+00:00;157789
2024-02-02 14:50:59+00:00;157792
2024-02-03 08:18:59+00:00;157799
2024-02-04 08:37:59+00:00;157806
2024-02-05 08:35:59+00:00;157814
2024-02-06 15:00:59+00:00;157826
2024-02-08 08:20:59+00:00;157844
2024-02-09 12:58:59+00:00;157855
2024-02-10 08:48:59+00:00;157863
2024-02-12 08:17:59+00:00;157885
2024-02-13 13:57:59+00:00;157898
2024-02-15 11:58:59+00:00;157921
2024-02-17 09:10:59+00:00;157940
2024-02-19 08:51:59+00:00;157962
2024-02-20 08:01:59+00:00;157971
2024-02-21 07:23:59+00:00;157979
2024-02-23 14:06:59+00:00;158003
2024-02-25 08:02:59+00:00;158023
2024-02-26 10:09:59+00:00;158034
2024-03-02 09:00:59+00:00;158089
2024-03-06 07:45:59+00:00;158128
2024-03-09 08:17:59+00:00;158164
2024-03-12 07:50:59+00:00;158189
2024-03-16 13:02:59+00:00;158225
2024-03-23 09:04:59+00:00;158287
2024-04-01 11:25:59+00:00;158393
2024-04-07 13:54:59+00:00;158447
2024-04-13 08:30:59+00:00;158524
2024-04-14 09:30:59+00:00;158550
2024-04-15 09:34:59+00:00;158570
2024-04-16 06:54:59+00:00;158620
2024-04-17 06:21:59+00:00;158644
2024-04-17 11:44:59+00:00;158647
2024-04-19 07:49:59+00:00;158680
2024-04-20 10:45:59+00:00;158697
2024-04-24 06:31:59+00:00;158743
2024-04-25 05:11:59+00:00;158758
2024-04-27 10:25:59+00:00;158782
2024-04-29 07:41:59+00:00;158795
2024-05-01 13:52:59+00:00;158806
2024-05-04 07:51:59+00:00;158833
2024-05-06 07:15:59+00:00;158844
2024-05-06 09:24:59+00:00;158845
2024-05-07 06:43:59+00:00;158857
2024-05-08 06:30:59+00:00;158868
2024-05-11 08:13:59+00:00;158913
2024-05-14 09:14:59+00:00;158945
2024-05-15 07:31:59+00:00;158951
2024-05-18 07:14:59+00:00;158996
2024-05-19 07:06:59+00:00;159008
2024-05-21 09:10:59+00:00;159022
2024-05-22 07:00:59+00:00;159036
2024-05-23 06:48:59+00:00;159040
2024-05-23 20:47:59+00:00;159045
2024-05-23 21:08:59+00:00;159045
2024-05-23 21:09:59+00:00;159045
2024-05-24 05:55:59+00:00;159047
2024-05-24 20:47:59+00:00;159057
2024-05-25 12:42:59+00:00;159059
2024-05-25 14:55:59+00:00;159060
2024-05-26 10:18:59+00:00;159063
2024-05-27 08:00:59+00:00;159066
2024-05-28 13:07:59+00:00;159071
2024-06-12 09:52:59+00:00;159127
2024-06-15 11:24:59+00:00;159138
2024-06-22 08:06:59+00:00;159162
2024-06-29 06:10:59+00:00;159188
2024-07-01 11:03:59+00:00;159195
2024-07-06 07:19:59+00:00;159211
2024-07-13 08:35:59+00:00;159237
2024-07-21 08:25:59+00:00;159264
2024-07-29 07:27:59+00:00;159290
2024-08-01 09:34:59+00:00;159301
2024-08-03 08:19:59+00:00;159308
2024-08-10 07:47:59+00:00;159332
2024-09-01 12:32:59+00:00;159409
2024-09-03 11:33:59+00:00;159618
2024-09-12 12:59:59+00:00;159457
2024-09-12 15:09:59+00:00;159459
2024-09-13 08:01:59+00:00;159463
2024-09-13 10:03:59+00:00;159468
2024-09-13 13:51:59+00:00;159473
2024-09-28 12:21:59+00:00;159619
2024-09-28 15:38:59+00:00;159619
2024-09-29 07:48:59+00:00;159624
2024-09-29 15:58:59+00:00;159626
2024-09-29 19:43:59+00:00;159630
2024-09-30 07:14:59+00:00;159640
2024-09-30 18:00:59+00:00;159646
2024-10-01 16:09:59+00:00;159662
2024-10-02 16:57:59+00:00;159678
2024-10-03 08:21:59+00:00;159689
2024-10-04 17:02:59+00:00;159707
2024-10-05 07:26:59+00:00;159713
2024-10-06 08:35:59+00:00;159723
2024-10-07 16:01:59+00:00;159736
2024-10-08 05:57:59+00:00;159753
2024-10-09 06:31:59+00:00;159776
2024-10-11 06:54:59+00:00;159830
2024-10-12 07:02:59+00:00;159850
2024-10-12 18:33:59+00:00;159854
2024-10-13 08:15:59+00:00;159860
2024-10-13 16:52:59+00:00;159866
2024-10-14 06:30:59+00:00;159873
2024-10-15 16:14:59+00:00;159887
2024-10-16 06:42:59+00:00;159900
2024-10-16 16:18:59+00:00;159903
2024-10-16 16:22:59+00:00;159902
2024-10-18 06:59:59+00:00;159929
2024-10-19 07:53:59+00:00;159946
2024-10-20 08:08:59+00:00;159956
2024-10-22 07:14:59+00:00;159987
2024-10-22 17:56:59+00:00;159990
2024-10-24 05:56:59+00:00;160017
2024-10-24 16:54:59+00:00;160020
2024-10-26 07:21:59+00:00;160034
2024-10-27 09:00:59+00:00;160046
2024-10-29 17:17:59+00:00;160081
2024-10-30 17:34:59+00:00;160105
2024-11-04 07:44:59+00:00;160209
2024-11-05 08:13:59+00:00;160229
2024-11-05 17:26:59+00:00;160235
2024-11-06 17:23:59+00:00;160252
2024-11-08 07:40:59+00:00;160277
2024-11-09 08:25:59+00:00;160296
2024-11-12 07:57:59+00:00;160344
2024-11-13 07:34:59+00:00;160361
2024-11-14 08:05:59+00:00;160381
2024-11-15 17:08:59+00:00;160404
2024-11-16 08:12:59+00:00;160416
2024-11-17 08:44:59+00:00;160432
2024-11-18 07:51:59+00:00;160447
2024-11-20 07:58:59+00:00;160475
2024-11-25 08:05:59+00:00;160567
2024-11-26 07:19:59+00:00;160578
2024-11-28 07:11:59+00:00;160608
2024-11-30 07:55:59+00:00;160649
2024-12-01 08:37:59+00:00;160666
2024-12-03 08:02:59+00:00;160701
2024-12-04 07:37:59+00:00;160718
2024-12-05 07:23:59+00:00;160735
2024-12-07 08:42:59+00:00;160768
2024-12-08 07:43:59+00:00;160783
2024-12-08 07:45:59+00:00;160783
2024-12-09 07:54:59+00:00;160800
2024-12-10 07:42:59+00:00;160818
2024-12-11 07:49:59+00:00;160835
2024-12-14 07:51:59+00:00;160881
2024-12-15 09:28:59+00:00;160903
2024-12-20 07:55:59+00:00;160985
2024-12-21 07:48:59+00:00;161005
2024-12-22 10:08:59+00:00;161023
2024-12-26 08:57:59+00:00;161091
2024-12-27 08:05:59+00:00;161110
2024-12-28 08:02:59+00:00;161127
2024-12-29 09:33:59+00:00;161147
2024-12-30 07:57:59+00:00;161163
2024-12-31 07:51:59+00:00;161181
2025-01-01 09:02:59+00:00;161197
2025-01-02 07:11:59+00:00;161213
2025-01-03 07:33:59+00:00;161229
2025-01-04 09:42:59+00:00;161249
2025-01-05 08:14:59+00:00;161266
2025-01-06 07:34:59+00:00;161281
2025-01-06 07:37:59+00:00;161281
2025-01-07 07:07:59+00:00;161296
2025-01-08 07:16:59+00:00;161314
2025-01-09 20:02:59+00:00;161337
2025-01-11 07:59:59+00:00;161366
2025-01-12 08:56:59+00:00;161382
2025-01-13 07:27:59+00:00;161397
2025-01-14 17:01:59+00:00;161417
2025-01-15 07:30:59+00:00;161424
2025-01-15 14:28:59+00:00;161427
2025-01-17 07:52:59+00:00;161451
2025-01-18 09:40:59+00:00;161469
2025-01-19 08:55:59+00:00;161484
2025-01-21 07:38:59+00:00;161520
2025-01-22 07:27:59+00:00;161538
2025-01-23 07:50:59+00:00;161555
2025-01-25 09:06:59+00:00;161587
2025-01-31 07:23:59+00:00;161696
2025-02-01 07:26:59+00:00;161709
2025-02-03 06:47:59+00:00;161737
2025-02-04 07:21:59+00:00;161753
